# temperature,rainfall,humidity,yield_of_corp
26,27,31,28.7
35,56,20,31.7
20,64,35,36.3
71,83,79,77.4
45,83,41,50.6
29,74,32,39.5
86,60,72,73.8
94,46,76,75.4
59,59,37,48.0
31,55,74,57.3
37,60,41,43.6
77,49,71,68.4
42,73,77,65.7
32,100,95,77.1
80,59,45,58.3
67,40,79,67.6
63,64,95,79.2
25,96,48,50.7
64,55,41,50.7
26,85,89,69.3
57,67,75,68.0
94,27,80,73.6
59,34,25,37.0
97,47,63,70.0
63,37,99,75.8
65,100,53,66.0
88,56,96,85.6
31,38,24,28.9
43,24,43,39.2
37,29,89,61.4
50,68,79,68.1
37,88,64,60.7
35,33,53,43.6
75,86,85,82.2
87,35,89,77.6
62,33,67,58.7
97,80,30,60.1
33,40,56,45.9
78,86,53,67.1
87,52,78,75.5
71,53,81,72.4
32,28,80,55.2
87,84,59,72.4
67,83,49,61.2
75,20,80,66.5
84,37,68,66.6
28,88,44,48.0
22,68,33,36.7
53,31,44,44.1
31,40,74,54.3
89,89,39,64.0
94,67,78,80.6
24,49,46,40.0
79,70,20,47.7
64,71,29,47.9
94,91,72,82.4
62,83,56,63.2
98,64,64,74.2
35,33,37,35.6
94,37,85,78.1
80,68,98,86.6
82,37,89,76.5
73,92,65,72.8
79,21,41,48.4
88,29,30,47.2
74,98,53,68.3
39,96,55,58.4
48,95,44,55.4
41,79,33,44.6
76,80,89,83.3
93,97,83,88.8
61,27,66,56.7
78,79,48,63.2
60,52,66,61.4
34,94,42,50.0
65,31,53,52.2
36,72,28,39.2
83,20,60,58.9
47,48,100,73.7
36,82,91,72.7
80,53,57,63.1
35,59,94,69.3
34,56,66,54.4
40,69,82,66.8
68,48,64,62.0
22,22,28,25.0
26,33,27,27.9
49,28,27,33.8
32,98,70,64.2
26,26,84,55.0
84,52,75,73.1
98,59,76,79.2
89,88,34,61.3
35,35,82,58.5
41,75,46,50.3
97,87,72,82.5
59,84,65,67.0
97,40,43,58.6
71,95,51,65.8
67,46,41,49.8
51,62,76,65.7
25,42,68,49.9
56,28,66,55.4
40,39,83,61.3
70,26,76,64.2
72,46,79,70.3
80,72,65,70.9
98,20,26,46.4
76,53,71,68.9
30,31,97,63.7
54,51,87,69.9
39,34,71,54.0
100,89,57,76.3
30,37,52,42.4
29,100,63,60.2
100,37,26,50.4
35,93,31,44.6
80,35,96,79.0
77,35,65,62.6
30,42,84,59.4
86,88,94,90.4
26,48,73,53.9
69,51,48,54.9
87,64,21,49.4
69,53,77,69.8
53,73,72,66.5
41,82,28,42.7
61,27,95,71.2
33,91,92,74.1
34,57,33,38.1
97,60,21,51.6
66,22,45,46.7
40,54,30,37.8
55,47,28,39.9
21,55,53,43.8
37,68,37,43.2
46,39,22,32.6
27,43,28,30.7
23,26,75,49.6
27,89,24,37.9
20,87,56,51.4
86,59,61,68.1
80,50,20,44.0
70,35,97,76.5
33,40,54,44.9
90,54,67,71.3
76,92,51,66.7
87,85,65,75.6
24,64,78,59.0
24,48,43,38.3
65,28,36,43.1
25,69,64,53.3
82,50,25,47.1
39,23,58,45.3
25,42,91,61.4
46,31,52,46.0
93,23,37,51.0
92,87,74,82.0
43,80,62,59.9
29,52,28,33.1
99,85,33,63.2
44,85,75,67.7
94,75,27,56.7
90,80,29,57.5
36,89,97,77.1
29,83,30,40.3
74,53,29,47.3
71,68,32,50.9
85,25,42,51.5
44,23,66,50.8
75,31,86,71.7
100,31,69,70.7
20,59,46,40.8
70,82,38,56.4
23,74,83,63.2
68,51,61,61.1
63,77,49,58.8
94,29,33,50.5
74,24,32,43.0
81,50,21,44.8
89,32,28,47.1
39,67,100,75.1
99,79,70,80.5
98,88,66,80.0
36,100,91,76.3
59,57,40,49.1
41,53,75,60.4
31,71,84,65.5
71,47,78,69.7
97,47,51,64.0
25,74,73,58.8
32,40,48,41.6
48,87,84,73.8
71,41,62,60.5
64,81,91,80.9
70,87,53,64.9
29,41,78,55.9
69,40,44,50.7
41,54,41,43.6
57,84,21,44.4
23,46,81,56.6
48,49,53,50.7
34,39,66,51.0
63,100,24,50.9
93,71,36,60.1
82,48,22,45.2
94,65,79,80.7
75,73,49,61.6
56,95,62,66.8
38,20,56,43.4
59,20,96,69.7
43,23,56,45.5
46,26,38,38.0
45,78,58,58.1
50,32,72,57.4
59,76,22,43.9
95,63,75,78.6
35,46,78,58.7
92,31,94,80.8
35,84,98,76.3
83,57,83,77.8
88,57,95,85.3
91,30,70,68.3
68,86,33,54.1
58,91,39,55.1
65,77,83,76.4
78,80,54,66.4
52,84,43,53.9
41,87,31,45.2
85,36,47,56.2
90,72,58,70.4
33,41,42,39.1
38,46,95,68.1
51,50,52,51.3
92,21,27,45.3
48,61,86,69.6
83,69,99,88.2
68,45,64,61.4
49,41,33,39.4
100,23,86,77.6
87,43,38,53.7
38,32,57,46.3
90,95,69,80.5
38,78,32,43.0
45,70,88,71.5
52,93,55,61.7
73,93,97,89.0
65,83,58,65.1
50,84,52,57.8
37,73,89,70.2
70,96,78,79.2
25,23,70,47.1
43,56,27,37.6
59,71,90,76.9
52,74,22,41.4
96,20,67,66.3
29,99,36,46.5
96,43,99,86.9
20,100,90,71.0
94,60,56,68.2
34,77,64,57.6
38,45,95,67.9
85,85,33,59.0
33,59,38,40.7
27,67,73,58.0
22,31,77,51.3
89,97,93,92.6
85,98,25,57.6
72,42,60,60.0
78,85,76,78.4
83,40,79,72.4
40,59,95,71.3
78,59,90,80.2
46,50,75,61.3
29,72,94,70.1
56,67,51,55.7
27,92,64,58.5
90,97,73,82.9
47,58,40,45.7
24,30,21,23.7
54,66,39,48.9
49,22,78,58.1
70,50,39,50.5
42,36,27,33.3
54,100,60,66.2
26,66,36,39.0
32,40,59,47.1
40,71,32,42.2
97,38,73,73.2
52,93,56,62.2
20,96,69,59.7
24,70,97,69.7
30,38,89,61.1
85,50,87,79.0
65,89,82,78.3
41,32,85,61.2
58,40,67,58.9
29,78,61,54.8
38,21,66,48.6
22,53,57,45.7
41,44,27,34.6
70,68,46,57.6
24,29,72,49.0
32,91,51,53.3
37,76,91,71.8
76,92,30,56.2
71,25,36,44.3
49,79,77,69.0
37,87,39,48.0
100,98,83,91.1
78,66,25,49.1
78,65,88,80.4
92,60,83,81.1
51,41,33,40.0
92,49,41,57.9
94,41,50,61.4
79,33,91,75.8
26,66,96,69.0
50,98,61,65.1
62,65,90,76.6
80,78,26,52.6
28,99,64,60.2
50,30,35,38.5
87,20,66,63.1
62,62,77,69.5
56,72,38,50.2
56,50,79,66.3
43,95,58,60.9
58,74,48,56.2
87,97,81,86.0
76,49,93,79.1
83,27,93,76.8
58,98,84,79.0
82,65,52,63.6
59,82,53,60.6
20,79,67,55.3
84,80,74,78.2
36,45,30,34.8
41,96,91,77.0
23,70,28,34.9
57,68,69,65.2
92,21,88,75.8
74,40,40,50.2
92,82,87,87.5
45,56,32,40.7
69,22,37,43.6
40,89,92,75.8
59,39,46,48.5
76,71,29,51.5
88,46,94,82.6
99,98,64,81.3
37,54,66,54.9
28,79,78,63.2
28,39,75,53.7
93,68,46,64.5
80,43,82,73.6
24,69,62,52.0
56,54,40,47.6
22,82,28,37.0
48,60,60,56.4
85,100,58,74.5
81,38,21,42.4
61,51,53,55.0
56,86,81,74.5
43,92,46,54.3
65,67,57,61.4
30,62,33,37.9
67,83,57,65.2
64,96,82,79.4
49,21,88,62.9
36,72,75,62.7
70,77,28,50.4
58,26,59,52.1
84,58,71,72.3
97,29,75,72.4
63,44,35,45.2
22,47,61,46.5
85,46,41,55.2
47,57,49,50.0
45,29,100,69.3
50,84,70,66.8
47,49,57,52.4
96,74,25,56.1
31,31,33,32.0
74,85,36,57.2
65,22,76,61.9
99,92,94,95.1
75,76,63,69.2
45,79,38,48.3
53,35,52,48.9
86,73,85,82.9
60,69,54,58.8
52,61,79,67.3
72,35,88,72.6
94,86,36,63.4
53,68,82,70.5
51,31,96,69.5
76,75,34,54.8
21,55,84,59.3
29,23,72,49.3
63,75,78,72.9
51,26,71,56.0
90,45,82,77.0
93,86,72,81.1
92,20,54,58.6
36,23,37,33.9
80,42,74,69.4
58,88,64,67.0
94,76,79,82.9
23,64,24,31.7
64,76,60,64.4
34,99,98,79.0
80,41,42,53.2
44,30,48,43.2
36,60,88,66.8
82,85,73,78.1
87,25,21,41.6
43,59,72,60.7
77,62,71,71.0
59,82,76,72.1
97,85,44,68.1
75,40,55,58.0
75,34,87,72.8
22,29,47,35.9
99,50,53,66.2
70,78,61,67.1
30,80,27,38.5
20,86,62,54.2
99,83,62,77.3
21,82,98,71.7
24,35,65,46.7
27,36,28,29.3
71,73,82,76.9
22,56,99,67.3
52,85,25,45.1
62,28,75,61.7
79,57,52,61.1
50,26,55,47.7
98,57,30,55.8
22,45,82,56.6
44,56,72,60.4
44,60,77,63.7
53,92,81,74.8
85,37,28,46.9
51,49,33,41.6
31,48,25,31.4
69,51,32,46.9
53,79,23,43.2
64,95,61,68.7
31,61,66,54.5
63,85,46,58.9
72,30,44,49.6
98,98,70,84.0
55,83,35,50.6
53,94,80,74.7
27,21,64,44.3
24,54,32,34.0
36,61,95,70.5
54,28,62,52.8
38,86,35,46.1
95,86,79,85.2
21,36,47,37.0
88,59,99,87.7
44,33,69,54.3
48,38,80,62.0
71,57,85,75.2
100,58,100,91.6
36,21,55,42.5
35,99,48,54.3
75,56,92,79.7
55,94,45,57.8
34,88,85,70.3
28,57,67,53.3
24,61,52,45.4
78,65,89,80.9
24,28,65,45.3
73,28,29,42.0
37,73,23,37.2
94,95,76,85.2
65,56,64,62.7
34,37,40,37.6
57,74,24,43.9
59,61,56,57.9
44,66,94,73.4
57,81,75,70.8
62,67,29,46.5
72,84,39,57.9
100,75,40,65.0
55,92,76,72.9
20,67,46,42.4
40,56,100,73.2
40,56,90,68.2
78,41,45,54.1
82,25,60,59.6
55,34,61,53.8
28,39,27,29.7
48,38,32,38.0
91,52,88,81.7
92,46,84,78.8
80,81,56,68.2
73,93,62,71.5
56,23,85,63.9
73,47,79,70.8
53,56,46,50.1
34,35,95,64.7
74,96,81,81.9
67,26,37,43.8
53,60,36,45.9
53,62,90,73.3
85,68,96,87.1
90,97,31,61.9
29,100,22,39.7
24,54,81,58.5
60,91,53,62.7
62,99,20,48.4
50,80,63,62.5
49,96,62,64.9
51,95,84,76.3
64,41,96,75.4
67,75,50,60.1
28,37,69,50.3
84,86,36,60.4
40,72,34,43.4
61,77,53,60.2
71,94,63,71.6
66,99,49,64.1
34,87,65,60.1
73,96,92,87.1
70,49,75,68.3
30,89,23,38.3
69,92,75,76.6
36,21,65,47.5
20,53,35,34.1
28,30,32,30.4
62,58,76,68.2
96,89,54,73.6
38,31,37,36.1
69,97,48,64.1
98,25,90,79.4
98,23,42,55.0
47,95,40,53.1
42,71,21,37.3
85,42,57,62.4
86,58,76,75.4
50,58,65,59.1
48,61,81,67.1
27,22,70,47.5
32,78,31,40.7
32,24,47,37.9
65,66,45,55.2
94,85,69,79.7
25,81,28,37.7
94,68,48,65.8
65,29,93,71.8
33,63,40,42.5
72,72,44,58.0
29,86,46,48.9
82,57,76,74.0
23,66,54,47.1
100,61,27,55.7
80,38,80,71.6
43,99,21,43.2
29,96,76,65.9
76,55,78,72.8
62,76,23,45.3
29,30,56,42.7
59,45,70,61.7
51,92,69,68.2
61,89,100,86.1
99,23,67,67.8
30,89,71,62.3
68,27,65,58.3
80,31,68,64.2
74,48,71,67.3
26,80,67,57.3
45,95,96,80.5
62,45,90,72.6
89,73,60,71.3
63,65,48,55.9
62,51,26,41.8
46,21,28,32.0
59,64,48,54.5
55,20,25,33.0
46,21,74,55.0
89,97,45,68.6
42,21,41,37.3
63,87,33,52.8
91,91,38,64.5
45,22,62,48.9
38,61,29,38.1
48,86,99,81.1
59,51,37,46.4
69,66,73,70.4
38,34,58,47.2
97,38,83,78.2
32,68,73,59.7
89,76,20,51.9
74,30,55,55.7
98,80,20,55.4
29,41,76,54.9
95,60,43,62.0
60,62,69,64.9
57,91,27,48.8
51,92,64,65.7
100,32,82,77.4
82,21,40,48.8
76,76,93,84.5
47,24,81,59.4
30,90,87,70.5
94,36,22,46.4
76,78,25,50.9
42,33,36,37.2
23,20,73,47.4
81,88,58,70.9
66,38,23,38.9
89,78,38,61.3
81,93,70,77.9
20,20,39,29.5
35,92,60,58.9
34,48,93,66.3
45,77,52,54.9
34,76,40,45.4
66,32,69,60.7
89,68,21,50.8
25,80,25,36.0
81,60,98,85.3
96,61,22,52.0
53,70,39,49.4
80,61,93,82.7
74,100,26,55.2
43,72,97,75.8
47,47,97,72.0
22,88,56,52.2
100,29,35,53.3
31,98,57,57.4
23,75,30,36.9
46,81,67,63.5
24,39,75,52.5
35,85,45,50.0
32,80,86,68.6
57,37,50,49.5
28,38,98,65.0
33,75,62,55.9
97,96,71,83.8
21,32,22,23.7
69,21,48,48.9
85,53,28,50.1
50,89,61,63.3
66,88,69,71.9
62,72,41,53.5
100,97,45,71.9
55,35,50,48.5
57,70,23,42.6
36,92,32,45.2
64,27,75,62.1
45,87,84,72.9
40,64,46,47.8
72,87,20,49.0
99,23,43,55.8
57,21,69,55.8
93,51,20,48.1
80,43,73,69.1
46,36,58,50.0
99,78,27,58.8
61,93,59,66.4
87,43,26,47.7
84,75,34,57.2
53,40,33,40.4
66,88,50,62.4
31,85,83,67.8
48,100,22,45.4
38,58,86,66.0
21,79,84,64.1
52,46,36,42.8
35,61,42,43.7
49,28,23,31.8
23,22,66,44.3
35,36,76,55.7
35,26,67,49.2
68,77,98,84.8
39,55,45,45.2
69,34,76,65.5
58,20,36,39.4
26,28,59,42.9
68,20,39,43.9
31,95,33,44.8
64,21,33,39.9
35,59,99,71.8
39,49,70,56.5
65,23,71,59.6
93,64,45,63.2
64,68,64,64.8
46,85,66,63.8
40,99,21,42.3
34,32,77,55.1
67,52,69,65.0
62,49,65,60.9
20,98,55,53.1
32,22,87,57.5
25,99,65,59.8
44,86,91,75.9
51,63,54,54.9
69,26,45,48.4
40,37,76,57.4
67,68,74,70.7
92,69,37,59.9
44,72,67,61.1
31,68,79,62.4
66,96,98,88.0
46,96,51,58.5
43,99,77,71.2
81,71,57,67.0
82,99,31,59.9
29,74,54,50.5
37,93,69,64.2
23,52,41,37.8
35,57,20,31.9
72,74,83,77.9
46,79,43,51.1
100,94,29,63.3
51,55,42,47.3
33,86,59,56.6
37,32,85,60.0
23,74,62,52.7
77,56,51,59.8
28,55,49,43.9
69,75,91,81.2
50,61,47,50.7
76,98,98,91.4
71,35,33,44.8
76,73,72,73.4
80,77,82,80.4
84,86,58,71.4
50,34,98,70.8
69,31,48,50.9
56,99,85,79.1
45,67,97,75.4
37,82,65,60.0
83,25,77,68.4
57,50,67,60.6
71,66,95,82.0
64,27,86,67.6
27,79,21,34.4
35,94,69,63.8
23,65,82,60.9
51,50,28,39.3
91,52,59,67.2
75,57,75,71.4
66,64,37,51.1
58,48,71,62.5
39,58,38,42.3
83,100,52,70.9
76,64,61,66.1
37,42,65,52.0
65,96,74,75.7
49,66,35,45.4
42,28,62,49.2
71,81,53,64.0
89,92,65,77.6
70,88,21,49.1
46,37,75,58.7
49,32,94,68.1
73,65,54,61.9
26,96,98,76.0
89,28,95,79.8
47,52,75,62.0
75,88,65,72.6
73,37,76,67.3
28,86,67,59.1
75,65,91,81.0
61,98,42,58.9
34,49,65,52.5
83,93,78,82.5
58,49,49,51.7
55,81,25,45.2
61,20,95,69.8
87,69,52,65.9
39,67,94,72.1
74,94,70,76.0
40,72,55,53.9
94,31,42,55.4
47,79,55,57.4
69,42,72,65.1
26,36,66,48.0
23,64,77,58.2
82,53,69,69.7
38,93,46,53.0
68,48,49,54.5
20,43,32,30.6
21,53,22,27.9
46,64,55,54.1
50,75,92,76.0
68,53,71,66.5
50,54,74,62.8
68,97,42,60.8
80,73,38,57.6
74,21,56,54.4
61,48,25,40.4
44,40,70,56.2
23,45,55,43.4
85,69,42,60.3
56,87,75,71.7
43,96,89,76.6
23,31,45,35.6
67,80,25,48.6
72,28,60,57.2
32,97,80,69.0
52,55,73,63.1
30,56,85,62.7
48,49,34,41.2
80,44,91,78.3
51,70,60,59.3
71,70,95,82.8
48,95,26,46.4
71,66,40,54.5
63,33,84,67.5
83,45,52,59.9
94,64,85,83.5
85,58,74,74.1
37,47,30,35.5
77,82,88,83.5
92,65,59,70.1
61,53,85,71.4
66,46,90,74.0
84,60,38,56.2
53,60,82,68.9
96,73,57,71.9
42,41,69,55.3
54,25,23,32.7
46,21,89,62.5
89,64,33,56.0
29,65,60,51.7
91,83,88,87.9
49,68,41,48.8
58,72,86,74.8
91,41,51,61.0
56,41,46,48.0
78,97,44,64.8
62,58,89,74.7
24,69,20,31.0
94,34,65,67.5
44,52,81,64.1
93,71,58,71.1
53,49,83,67.2
72,96,73,77.3
67,78,74,72.7
100,67,41,63.9
38,97,39,50.3
76,80,99,88.3
91,73,45,64.4
29,94,86,70.5
78,24,54,55.2
22,77,60,52.0
20,88,63,55.1
82,35,67,65.1
49,40,60,52.7
47,97,58,62.5
63,44,61,58.2
79,56,74,71.9
36,55,27,35.3
52,28,45,43.7
97,37,80,76.5
100,67,29,57.9
53,57,34,44.3
97,55,62,71.1
90,28,62,63.6
89,64,66,72.5
30,21,57,41.7
33,78,65,58.0
96,69,66,75.6
67,60,32,48.1
57,74,41,52.4
38,29,87,60.7
64,69,84,75.0
88,67,98,88.8
49,30,25,33.2
47,24,47,42.4
51,33,81,62.4
81,91,83,84.0
21,64,62,50.1
84,69,99,88.5
79,30,40,49.7
82,20,33,45.1
55,95,84,77.5
23,98,22,37.5
72,77,48,61.0
54,53,38,45.8
51,29,58,50.1
26,75,26,35.8
45,50,39,43.0
20,64,24,30.8
93,28,24,45.5
91,71,42,62.5
41,46,95,69.0
27,96,73,63.8
62,98,35,55.7
27,23,54,39.7
24,86,71,59.9
94,69,43,63.5
31,96,22,39.5
85,79,43,62.8
82,72,74,76.0
62,22,47,46.5
69,35,65,60.2
81,91,54,69.5
76,27,63,59.7
76,93,89,85.9
51,30,63,52.8
44,92,54,58.6
58,69,94,78.2
67,85,37,55.6
84,44,20,44.0
48,54,71,60.7
67,64,97,81.4
48,28,24,32.0
68,63,54,60.0
22,80,42,43.6
58,94,47,59.7
81,75,68,73.3
55,22,84,62.9
30,21,37,31.7
85,58,90,82.1
77,73,48,61.7
91,81,87,87.0
82,56,65,68.3
58,63,66,63.0
25,79,47,46.8
56,59,86,71.6
38,61,90,68.6
91,61,48,63.5
99,32,71,71.6
41,27,25,30.2
37,91,66,62.3
98,69,99,92.7
33,80,24,37.9
86,80,44,63.8
60,45,75,64.5
84,39,83,74.5
30,41,80,57.2
59,76,77,71.4
90,42,94,82.4
33,87,29,41.8
81,20,57,56.8
73,94,76,78.7
47,56,96,73.3
25,62,45,42.4
97,75,38,63.1
95,74,95,90.8
25,64,29,34.8
78,39,20,41.2
62,87,60,66.0
50,23,61,50.1
52,87,57,61.5
69,64,94,80.5
99,68,51,68.8
21,58,26,30.9
86,43,74,71.4
58,36,73,61.1
91,66,37,59.0
21,59,25,30.6
63,96,57,66.6
40,20,72,52.0
33,87,32,43.3
66,88,73,73.9
24,94,25,38.5
97,78,20,54.7
55,66,61,60.2
53,82,42,53.3
22,61,84,60.8
40,59,22,34.8
31,93,32,43.9
94,28,60,63.8
99,69,83,85.0
21,47,45,38.2
36,95,86,72.8
80,46,100,83.2
41,94,23,42.6
26,97,48,51.2
80,66,76,75.2
80,63,33,53.1
25,48,83,58.6
61,47,93,74.2
44,81,62,60.4
89,54,70,72.5
44,72,73,64.1
58,71,31,47.1
54,33,90,67.8
29,49,91,64.0
60,51,63,59.7
30,20,71,48.5
23,100,66,59.9
54,51,47,49.9
35,98,30,45.1
44,37,24,32.6
47,94,83,74.4
46,68,66,60.4
67,75,76,73.1
58,63,92,76.0
100,22,60,64.4
46,43,32,38.4
66,86,32,53.0
22,62,99,68.5
37,99,27,44.4
100,89,24,59.8
65,25,71,60.0
100,57,47,64.9
66,30,87,69.3
74,79,85,80.5
85,58,32,53.1
21,28,76,49.9
36,67,90,69.2
60,22,92,68.4
55,85,60,63.5
74,45,82,72.2
39,98,90,76.3
69,79,42,57.5
97,51,49,63.8
97,61,87,84.8
60,58,71,65.1
76,30,81,69.3
46,73,87,71.9
50,96,73,70.7
34,42,54,45.6
60,20,33,38.5
69,56,45,54.4
53,50,35,43.4
57,93,31,51.2
21,54,41,37.6
42,79,54,55.4
42,27,89,62.5
76,49,66,65.6
70,92,80,79.4
57,40,45,47.6
25,46,62,47.7
29,89,25,39.0
71,98,69,75.4
31,79,47,48.6
56,74,48,55.6
94,21,64,64.4
58,100,67,70.9
57,100,28,51.1
48,72,20,38.8
86,79,93,88.1
41,35,43,40.8
72,27,38,46.0
95,41,34,53.7
75,55,74,70.5
87,65,95,86.6
84,69,49,63.5
88,57,20,47.8
25,42,86,58.9
28,95,46,50.4
48,79,97,78.7
40,25,21,27.5
97,45,29,52.6
85,42,83,75.4
92,100,81,88.1
72,78,99,86.7
56,35,42,44.8
58,39,58,54.2
99,46,56,66.9
28,82,22,35.8
93,93,44,68.5
23,32,83,54.8
49,67,76,66.1
27,63,93,67.2
91,63,92,85.9
26,51,70,53.0
95,67,69,76.4
78,42,25,44.3
59,81,29,48.4
32,99,59,58.9
62,66,91,77.3
47,21,36,36.3
52,23,53,46.7
70,96,74,77.2
32,83,85,68.7
65,54,95,77.8
44,89,66,64.0
59,77,75,70.6
96,25,87,77.3
24,86,33,40.9
76,85,72,75.8
64,73,90,78.8
56,94,78,74.6
28,89,98,75.2
32,83,25,38.7
66,73,29,48.9
26,77,21,33.7
36,86,35,45.5
73,44,61,61.2
90,23,51,57.1
52,48,31,40.7
54,34,49,47.5
32,64,65,54.9
69,61,55,60.4
54,64,64,61.0
20,82,91,67.9
25,62,32,35.9
75,99,100,92.3
23,28,71,48.0
41,58,91,69.4
70,88,33,55.1
76,25,51,53.3
62,27,49,48.5
97,30,28,49.1
24,45,84,58.2
31,60,36,39.3
30,32,64,47.4
36,72,51,50.7
35,41,21,29.2
21,65,41,39.8
50,54,66,58.8
85,65,69,73.0
32,57,96,69.0
96,32,42,56.2
53,25,95,68.4
23,88,52,50.5
86,70,70,74.8
97,33,36,53.7
74,21,37,44.9
56,69,65,63.1
24,56,76,56.4
27,72,42,43.5
20,70,77,58.5
51,63,47,51.4
82,87,55,69.5
42,71,60,56.8
83,51,85,77.6
68,54,26,44.2
90,92,52,71.4
97,60,91,86.6
65,71,32,49.7
98,64,65,74.7
81,29,70,65.1
97,29,25,47.4
29,30,40,34.7
30,83,54,52.6
61,37,51,51.2
49,80,24,42.7
92,96,53,73.3
30,45,97,66.5
69,22,81,65.6
48,30,98,69.4
50,79,53,57.3
60,98,61,68.1
97,84,20,55.9
21,63,74,55.9
24,33,50,38.8
54,99,80,76.0
40,28,100,67.6
44,93,78,70.8
78,48,65,65.5
26,65,98,69.8
74,62,56,62.6
40,68,22,36.6
79,40,91,77.2
68,52,93,77.3
72,54,33,48.9
31,95,87,71.8
66,23,38,43.4
57,36,84,66.3
40,80,47,51.5
82,36,92,77.8
21,37,21,24.2
65,24,27,37.8
80,69,60,67.8
82,94,69,77.9
63,29,57,53.2
61,82,48,58.7
96,66,39,61.5
41,93,65,63.4
73,68,41,56.0
43,98,23,44.0
45,31,91,65.2
20,78,86,64.6
47,37,74,58.5
95,28,44,56.1
27,81,77,62.8
46,28,95,66.9
64,97,62,69.6
56,52,75,64.7
45,71,88,71.7
31,81,83,67.0
84,26,49,54.9
87,76,20,51.3
40,50,42,43.0
64,70,48,57.2
66,29,53,52.1
28,37,59,45.3
51,36,30,37.5
62,96,86,80.8
61,47,62,58.7
69,66,53,60.4
41,45,49,45.8
75,35,76,67.5
27,58,77,58.2
35,33,20,27.1
65,82,25,48.4
44,89,36,49.0
93,39,86,78.7
21,87,40,43.7
78,48,61,63.5
22,22,42,32.0
23,66,99,69.6
97,41,52,63.3
42,36,51,45.3
99,25,64,66.7
25,42,36,33.9
82,20,47,52.1
39,41,37,38.4
29,29,62,45.5
39,75,38,45.7
43,79,94,75.7
87,70,48,64.1
96,49,56,66.6
54,42,46,47.6
52,64,25,40.9
84,98,30,59.8
39,59,71,59.0
26,26,64,45.0
95,24,43,54.8
78,45,51,57.9
30,31,88,59.2
95,69,30,57.3
33,85,58,55.9
20,97,34,42.4
74,57,55,61.1
67,65,38,52.1
36,80,78,65.8
98,59,46,64.2
32,64,89,66.9
48,22,26,31.8
44,20,37,35.7
37,72,58,54.5
26,75,55,50.3
23,72,49,45.8
82,46,59,63.3
48,42,48,46.8
52,78,27,44.7
49,73,36,47.3
82,32,42,52.0
77,77,89,83.0
62,21,54,49.8
70,47,75,67.9
81,43,79,72.4
54,71,32,46.4
63,34,38,44.7
22,59,74,55.4
47,93,26,45.7
45,37,93,67.4
44,22,58,46.6
79,35,58,59.7
57,45,54,53.1
45,99,47,56.8
60,90,31,51.5
20,62,47,41.9
63,26,61,54.6
50,28,70,55.6
44,76,98,77.4
20,81,31,37.7
84,83,59,71.3
63,94,37,56.2
45,76,86,71.7
48,47,63,55.3
22,40,30,29.6
91,71,57,70.0
65,77,49,59.4
23,69,87,64.2
72,65,33,51.1
28,44,82,58.2
53,38,92,69.5
46,74,69,63.1
40,25,67,50.5
33,48,55,47.0
84,21,60,59.4
68,46,68,63.6
31,92,32,43.7
84,48,79,74.3
67,41,49,52.8
90,37,39,53.9
88,45,41,55.9
67,47,55,57.0
90,84,68,77.8
66,28,45,47.9
59,65,64,62.7
21,28,32,27.9
24,25,51,37.7
86,26,84,73.0
94,21,34,49.4
51,40,37,41.8
98,34,61,66.7
23,26,88,56.1
92,39,24,47.4
37,36,79,57.8
36,31,23,28.5
62,80,79,74.1
43,25,73,54.4
65,36,67,60.2
67,88,93,84.2
93,57,36,57.3
99,95,84,90.7
52,87,56,61.0
73,35,90,73.9
33,87,47,50.8
40,80,59,57.5
62,59,68,64.4
40,71,28,40.2
90,39,92,80.8
31,43,45,40.4
79,23,74,65.3
44,69,76,65.0
20,60,20,28.0
29,40,26,29.7
85,97,99,94.4
90,25,26,45.0
51,71,41,50.0
94,35,87,78.7
86,99,78,84.6
49,37,94,69.1
72,40,56,57.6
74,97,82,82.6
35,73,22,36.1
40,81,66,61.2
39,66,36,42.9
74,73,100,86.8
62,40,87,70.1
89,20,83,72.2
29,83,58,54.3
98,22,24,45.8
96,80,63,76.3
46,74,58,57.6
40,97,77,69.9
89,49,100,86.5
20,52,50,41.4
83,57,42,57.3
30,29,54,41.8
34,57,92,67.6
44,87,52,56.6
27,33,64,46.7
78,54,66,67.2
71,92,78,78.7
60,54,69,63.3
58,68,31,46.5
30,30,23,26.5
43,34,46,42.7
50,71,90,74.2
58,51,67,61.1
75,78,94,85.1
41,91,40,50.5
20,39,64,45.8
98,45,33,54.9
43,24,97,66.2
88,32,33,49.3
46,29,34,36.6
85,83,77,80.6
21,60,95,65.8
45,64,30,41.3
76,40,24,42.8
70,63,58,62.6
34,78,64,57.8
66,60,81,72.3
31,81,85,68.0
58,55,61,58.9
40,71,100,76.2
30,23,97,62.1
26,86,36,43.0
95,51,70,73.7
97,56,78,79.3
27,28,29,28.2
89,99,31,62.0
74,81,43,59.9
27,33,56,42.7
46,50,33,40.3
53,24,25,33.2
54,96,37,53.9
34,20,55,41.7
33,38,54,44.5
47,100,51,59.6
42,41,72,56.8
80,59,96,83.8
37,34,100,67.9
42,59,71,59.9
39,25,45,39.2
56,65,24,41.8
21,87,84,65.7
30,56,95,67.7
84,52,53,62.1
34,21,79,53.9
65,25,99,74.0
42,76,84,69.8
55,97,83,77.4
58,81,50,58.6
83,75,22,50.9
24,37,77,53.1
31,42,98,66.7
67,49,94,76.9
